Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12015,2023-03-13,-0.10350678,-0.10219847,-0.099269332,21,100
Market-Adjusted Model,12017,2023-03-13,-0.13023034,-0.12138543,-0.125992892,21,100
Market-Adjusted Model,12034,2023-03-13,0.1010028545,0.1010022042,0.1052403026,21,100
Market-Adjusted Model,12035,2023-03-13,-0.048518937,-0.044980868,-0.044281489,21,100
Market-Adjusted Model,12036,2023-03-13,-0.020101017,-0.013807138,-0.015863569,21,100
Market-Adjusted Model,12039,2023-03-13,0.0146329732,0.0178610918,0.0188704213,21,100
Market-Adjusted Model,12049,2023-03-13,0.1801099691,0.1852932528,0.1843474172,21,100
Market-Adjusted Model,12052,2023-03-13,-0.029834008,-0.026200804,-0.02559656,21,100
Market-Adjusted Model,12054,2023-03-13,-0.037907757,-0.034949366,-0.033670309,21,100
Market-Adjusted Model,12059,2023-03-13,0.0308643281,0.0338264304,0.0351017762,21,100
Market-Adjusted Model,12060,2023-03-13,0.1178424577,0.1183693742,0.1220799058,21,100
Market-Adjusted Model,12062,2023-03-13,-0.09294265,-0.092456653,-0.088705202,21,100
Market-Adjusted Model,12064,2023-03-13,0.0173706699,0.0202701597,0.021608118,21,100
Market-Adjusted Model,12065,2023-03-13,0.0233410326,0.0264465263,0.0275784807,21,100
Market-Adjusted Model,12066,2023-03-13,-0.00324788,0.0004168799,0.0009895678,21,100
Market-Adjusted Model,12068,2023-03-13,-0.179294968,-0.186624307,-0.17505752,21,100
Market-Adjusted Model,12070,2023-03-13,-0.062470367,-0.056548285,-0.058232919,21,100
Market-Adjusted Model,12075,2023-03-13,0.0210445967,0.0241607986,0.0252820448,21,100
Market-Adjusted Model,12076,2023-03-13,0.00668665,0.019014434,0.0109240981,21,100
Market-Adjusted Model,12078,2023-03-13,-0.193181836,-0.203239811,-0.188944388,21,100
Market-Adjusted Model,12082,2023-03-13,-0.073626781,-0.071671306,-0.069389333,21,100
Market-Adjusted Model,12084,2023-03-13,-0.009454944,-0.002790649,-0.005217496,21,100
Market-Adjusted Model,12098,2023-03-13,0.0076961808,0.0121373315,0.0119336289,21,100
Market-Adjusted Model,12103,2023-03-13,-0.031286687,-0.027379356,-0.027049239,21,100
Market-Adjusted Model,12105,2023-03-13,-0.000827662,0.0033322974,0.0034097861,21,100
Market-Adjusted Model,12109,2023-03-13,-0.03582218,-0.029632591,-0.031584732,21,100
Market-Adjusted Model,12146,2023-03-13,-0.097826046,-0.095221167,-0.093588598,21,100
Market-Adjusted Model,12166,2023-03-13,-0.363184082,-0.380696379,-0.358946634,21,100
Market-Adjusted Model,12189,2023-03-13,-0.151472348,-0.15446325,-0.147234899,21,100
Market-Adjusted Model,12209,2023-03-13,0.0840921863,0.08617039,0.0883296344,21,100
